	total count	max temp	mean temp	min temp	snow on grnd (cm)	total precip (mm)	total rain (mm)	total snow (cm)	class	day	month	year
6913	625	6.1	2.1	-1.9	0.0	0.0	0.0	0.0	less than 2000	20	8	2017
16303	1912	20.0	14.0	8.0	0.0	0.0	0.0	0.0	less than 2000	8	4	2017
20861	15	-4.0	-7.3	-10.5	32.0	0.0	0.0	0.0	less than 2000	22	6	2015
21547	2515	18.0	15.5	13.0	0.0	0.0	0.0	0.0	2000 to 10000	27	5	2017
13067	110	12.2	4.3	-3.6	0.0	0.0	0.0	0.0	less than 2000	9	10	2013
14835	628	10.0	8.5	7.0	0.0	3.0	3.0	0.0	less than 2000	1	3	2017
4704	0	3.4	1.1	-1.2	39.0	0.0	0.0	0.0	less than 2000	2	11	2016
16072	1184	26.5	23.0	19.5	0.0	0.0	0.0	0.0	less than 2000	20	10	2016
18366	56	4.5	-0.5	-5.5	22.0	0.0	0.0	0.0	less than 2000	22	10	2015
6752	412	23.0	16.0	9.0	0.0	22.3	22.3	0.0	less than 2000	21	2	2017
11093	32	2.0	0.0	-2.0	31.0	0.0	0.0	0.0	less than 2000	7	2	2013
19445	2246	30.0	24.3	18.5	0.0	0.0	0.0	0.0	2000 to 10000	25	10	2013
7607	1	3.0	1.5	0.0	26.0	0.6	0.6	0.0	less than 2000	14	4	2012
8035	6	-4.3	-7.3	-10.2	37.0	6.2	0.0	8.1	less than 2000	4	3	2014
20615	424	-1.0	-3.0	-5.0	33.0	0.0	0.0	0.0	less than 2000	9	1	2010
7723	2	-10.5	-17.1	-23.6	24.0	0.0	0.0	0.0	less than 2000	2	8	2016
14110	0	0.1	-5.6	-11.2	40.0	0.4	0.0	0.4	less than 2000	6	3	2018
22097	1507	27.0	24.3	21.5	0.0	1.0	1.0	0.0	less than 2000	18	9	2014
11420	426	7.2	3.8	0.4	0.0	0.0	0.0	0.0	less than 2000	4	7	2016
21438	1749	17.0	14.3	11.5	0.0	2.8	2.8	0.0	less than 2000	6	5	2016
12532	1819	22.3	18.0	13.7	0.0	0.0	0.0	0.0	less than 2000	20	3	2012
172	0	7.2	4.1	0.9	0.0	0.0	0.0	0.0	less than 2000	20	12	2016
20085	1557	22.0	13.8	5.5	0.0	0.0	0.0	0.0	less than 2000	4	7	2010
15727	1099	33.5	25.8	18.0	0.0	0.0	0.0	0.0	less than 2000	8	2	2016
22660	1585	7.5	3.0	-1.5	0.0	0.0	0.0	0.0	less than 2000	22	10	2011
